ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Scientific Method,,FOUND
2,Lab Measurement Units,1,FOUND
3,Laboratory Safety,1,FOUND
4,Data Recording and Analysis,1|2,FOUND
5,Controlled Experiment Design,1|3,FOUND
6,Variables in Experiments,1|5,FOUND
7,Hypothesis Formation,1,FOUND
8,Graph and Data Interpretation,2|4,FOUND
9,Metric System in Science,1|2,FOUND
10,Scientific Communication,1|4,FOUND
11,Atoms and Molecules in Food,,CHEM
12,Chemical Bonds in Food,11,CHEM
13,Water Molecule Structure,,CHEM
14,Hydrogen Bonding in Food,12|13,CHEM
15,Water as Universal Solvent,13|14,CHEM
16,Water Activity (aw),15|17,CHEM
17,pH Scale,,CHEM
18,Acids in Food,11|17,CHEM
19,Bases in Food,11|17,CHEM
20,Buffers in Food Chemistry,18|19,CHEM
21,Carbohydrates Overview,,CHEM
22,Monosaccharides,21,CHEM
23,Disaccharides,22,CHEM
24,Polysaccharides,23,CHEM
25,Proteins in Food Chemistry,,CHEM
26,Amino Acids,25,CHEM
27,Peptide Bonds,26,CHEM
28,Lipids Overview,,CHEM
29,Fatty Acids,28,CHEM
30,Saturated vs Unsaturated Fats,29,CHEM
31,Heat Transfer Fundamentals,,COOK
32,Conduction in Cooking,31,COOK
33,Convection in Cooking,31,COOK
34,Radiation in Cooking,31,COOK
35,Protein Denaturation by Heat,25|31,COOK
36,Starch Gelatinization,24|31,COOK
37,Maillard Reaction,22|25|31,COOK
38,Caramelization,22|31,COOK
39,Boiling Point and Altitude,31,COOK
40,Specific Heat Capacity of Food,11|31,COOK
41,Thermal Conductivity of Foods,11|31,COOK
42,Internal Cooking Temperature,31|35,COOK
43,Enzymatic Browning,25|31|44,COOK
44,Oxidation in Food,11|28,COOK
45,Smoke Point of Cooking Fats,29|31,COOK
46,Pressure Cooking Science,31|39,COOK
47,Microwave Heating Mechanism,31,COOK
48,Emulsification in Cooking,15|28,COOK
49,Wheat Flour Protein Content,25,BAKE
